"X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3"
0,0.00188571428571429,0.00642857142857143,0.00371428571428571,0.173542857142857,0.768,0.0464285714285714,0,0,0
0,0.169520547945205,0,0.0342465753424658,0.727739726027397,0,0.0684931506849315,0,0,0
0,0.176908752327747,0,0.0558659217877095,0.74487895716946,0,0.0223463687150838,0,0,0
0,0,0.29918591677342,0.198355303938179,0.5024587792884,0,0,0,0,0
0,0.282051282051282,0,0,0.717948717948718,0,0,0,0,0
0,0,0,0.045802798134577,0.4163890739507,0,0.537808127914724,0,0,0
0,0.116090085906664,0,0.0201996749477595,0.283259809612259,0,0.580450429533318,0,0,0
0,0,0,0.0318268618714195,0,0.0451941438574157,0.922978994271165,0,0,0
0.060882800608828,0,0,0,0.10806697108067,0.831050228310502,0,0,0,0
0.03311052386134,0,0,0,0.0295352090781906,0.937354267060469,0,0,0,0
0,0,0,0,0.699115044247788,0,0.300884955752212,0,0,0
0,0,0,0,0.8,0,0,0.2,0,0
0.107039934129271,0,0,0,0.411692054343351,0,0.415397282832441,0,0,0.0658707286949362
0.513698630136986,0,0.252283105022831,0.188356164383562,0.045662100456621,0,0,0,0,0
0,0.0882023109005456,0,0,0.504013205145975,0.00457391983669972,0.40321056411678,0,0,0
0,0.168224299065421,0,0,0.560747663551402,0.130841121495327,0.14018691588785,0,0,0
0.0197368421052632,0.207236842105263,0,0,0.0822368421052632,0,0.690789473684211,0,0,0
0.0421735604217356,0.0551500405515004,0,0,0,0,0.902676399026764,0,0,0
0,0.00879765395894428,0,0.0146627565982405,0.272727272727273,0,0.703812316715543,0,0,0
0,0.32967032967033,0,0,0.67032967032967,0,0,0,0,0
0,0,0,0,0.745980707395498,0.254019292604502,0,0,0,0
0,0.011037527593819,0,0.0339616233655969,0.0933944642553914,0.861606384785193,0,0,0,0
0.0609632188579557,0.0406421459053038,0.0259432364695523,0,0.50125313283208,0.371198265935108,0,0,0,0
0.0319537431527693,0,0,0,0.456786366402921,0,0,0,0,0.511259890444309
0,0.189912826899128,0,0,0.802303860523039,0,0.00778331257783313,0,0,0
0.0340425531914894,0,0,0,0.774468085106383,0,0.191489361702128,0,0,0
0,0.234125060591372,0,0,0.765874939408628,0,0,0,0,0
0,0,0.606590766659703,0,0.393409233340297,0,0,0,0,0
0.227884340108789,0,0,0,0.372745490981964,0,0.399370168909247,0,0,0
0,0.204378736696301,0,0.102726463230202,0.667453463555285,0.0254413365182118,0,0,0,0
0,0,0,0,0.737849779086892,0,0.262150220913108,0,0,0
0,0,0.420171208552951,0,0.433666031176405,0,0.146162760270644,0,0,0
0,0,0.840257968498078,0,0.159742031501922,0,0,0,0,0
0,0.707200478040036,0,0,0.143412010755901,0,0.149387511204063,0,0,0
0,0,0,0,0,0,0.952380952380952,0,0,0.0476190476190476
0,0.111501271891563,0.313024609452317,0,0.214762739075295,0,0.360711379580826,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0.0746453127947595,0.379256734340747,0,0.546097952864494,0,0,0,0,0
0,0.0878081729145559,0,0,0.854441067207025,0.0577507598784194,0,0,0,0
0,0.181216931216931,0,0,0.808201058201058,0.0105820105820106,0,0,0,0
0,0.103243535011531,0,0.00269885666617597,0.269885666617597,0.624171941704696,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0.0707409192284847,0,0,0.0971118607596355,0.828785009021933,0.00336221098994699,0,0,0
0,0.680019540791402,0,0,0.0757205666829507,0.244259892525647,0,0,0,0
0,0,0.401505646173149,0,0.598494353826851,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0.139840065614107,0,0.0399835964732417,0.820176337912651,0,0,0,0,0
0,0.33392539964476,0,0,0.66607460035524,0,0,0,0,0
0,0,0.952561669829222,0,0.047438330170778,0,0,0,0,0
0,0.106975063245392,0.262378026743766,0,0.630285507770148,0,0.000361402240693892,0,0,0
0,0,0,0,1,0,0,0,0,0
0.0246305418719212,0.199507389162562,0,0,0.775862068965517,0,0,0,0,0
